,AHU: Supply Air Temperature,AHU: Supply Air Temperature Set Point,AHU: Outdoor Air Temperature,AHU: Mixed Air Temperature,AHU: Return Air Temperature,AHU: Supply Air Fan Speed Control Signal,AHU: Return Air Fan Speed Control Signal,AHU: Exhaust Air Damper Control Signal,AHU: Outdoor Air Damper Control Signal,AHU: Return Air Damper Control Signal,AHU: Cooling Coil Valve Control Signal,AHU: Heating Coil Valve Control Signal,AHU: Supply Air Duct Static Pressure Set Point,AHU: Supply Air Duct Static Pressure,Occupancy Mode Indicator,Fault Detection Ground Truth
0,56.33,55,62.95,73.7,75.18,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.06,0,1
1,56.76,55,62.89,74.68,75.12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.17,0,1
2,58.46,55,62.89,74.77,74.99,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.34,0,1
3,61.41,55,62.84,74.65,74.8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.57,0,1
4,64.24,55,62.8,74.47,74.59,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.0,0,1
5,65.27,55,62.82,74.3,74.41,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.08,0,1
6,65.37,55,62.96,74.13,74.24,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.08,0,1
7,65.33,55,63.01,73.97,74.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.08,0,1
8,65.32,55,63.0,73.82,73.92,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.08,0,1
9,65.35,55,62.95,73.66,73.77,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.08,0,1
10,65.3,55,62.9,73.52,73.62,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.08,0,1
11,65.24,55,62.78,73.37,73.47,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.08,0,1
12,65.23,55,62.67,73.23,73.33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.08,0,1
13,65.24,55,62.54,73.09,73.19,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.08,0,1
14,65.25,55,62.43,72.96,73.06,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.08,0,1
15,65.24,55,62.34,72.83,72.93,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.08,0,1
16,65.2,55,62.25,72.7,72.8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.08,0,1
17,65.19,55,62.28,72.58,72.68,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.08,0,1
18,65.18,55,62.15,72.45,72.55,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.08,0,1
19,65.18,55,62.08,72.34,72.44,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.08,0,1
20,65.17,55,62.03,72.22,72.32,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.08,0,1
21,65.16,55,61.9,72.11,72.21,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.08,0,1
22,65.14,55,61.8,72.0,72.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.11,0,1
23,65.08,55,61.73,71.9,72.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.25,0,1
24,64.93,55,61.57,71.8,71.9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.54,0,1
25,64.44,55,61.51,71.69,71.81,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,2.23,0,1
26,63.96,55,61.44,71.59,71.74,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,2.78,0,1
27,63.68,55,61.38,71.5,71.67,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.07,0,1
28,63.44,55,61.3,71.41,71.62,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.27,0,1
29,63.0,55,61.16,71.33,71.57,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.4,0,1
30,62.68,55,61.17,71.25,71.53,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.49,0,1
31,62.56,55,61.21,71.18,71.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.55,0,1
32,62.53,55,61.24,71.14,71.46,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.56,0,1
33,62.5,55,61.33,71.11,71.43,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.57,0,1
34,62.52,55,61.37,71.07,71.4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.58,0,1
