,AHU: Supply Air Temperature,AHU: Supply Air Temperature Heating Set Point,AHU: Supply Air Temperature Cooling Set Point,AHU: Outdoor Air Temperature,AHU: Mixed Air Temperature,AHU: Supply Air Fan Speed Control Signal,AHU: Outdoor Air Damper Control Signal,AHU: Return Air Damper Control Signal,AHU: Exhaust Air Damper Control Signal,AHU: Cooling Coil Valve Control Signal,AHU: Heating Coil Valve Control Signal,Occupancy Mode Indicator,Fault Detection Ground Truth
0,72.86,72.5,72.5,72.6,77.54,0.1,0.0,1.0,-0.04,0.0,0.17,0,1
1,73.09,72.5,72.5,72.65,77.54,0.1,0.0,1.0,-0.04,0.0,0.17,0,1
2,74.41,72.5,72.5,72.71,77.56,0.1,0.0,1.0,-0.04,0.0,0.12,0,1
3,76.51,72.5,72.5,72.79,77.53,0.1,0.02,0.98,-0.02,0.0,0.02,0,1
4,78.85,72.5,72.5,72.84,77.0,0.1,0.17,0.83,0.12,0.0,0.0,0,1
5,80.99,72.5,72.5,73.03,76.33,0.1,0.35,0.65,0.29,0.0,0.0,0,1
6,82.72,72.5,72.5,73.24,75.69,0.1,0.5,0.5,0.43,0.0,0.0,0,1
7,84.07,72.5,72.5,73.16,75.01,0.1,0.63,0.37,0.55,0.0,0.0,0,1
8,85.12,72.5,72.5,73.19,74.52,0.1,0.74,0.26,0.65,0.0,0.0,0,1
9,85.98,72.5,72.5,73.13,74.01,0.1,0.83,0.17,0.74,0.0,0.0,0,1
10,86.67,72.5,72.5,73.48,73.62,0.1,0.91,0.09,0.81,0.0,0.0,0,1
11,87.24,72.5,72.5,73.62,73.25,0.1,0.98,0.02,0.88,0.0,0.0,0,1
12,87.73,72.5,72.5,73.65,72.92,0.1,1.0,0.0,0.9,0.0,0.0,0,1
13,88.16,72.5,72.5,73.75,72.77,0.1,1.0,0.0,0.9,0.0,0.0,0,1
14,88.55,72.5,72.5,73.63,72.7,0.1,1.0,0.0,0.9,0.0,0.0,0,1
15,88.96,72.5,72.5,73.18,72.61,0.1,1.0,0.0,0.9,0.0,0.0,0,1
16,89.3,72.5,72.5,72.9,72.54,0.1,1.0,0.0,0.9,0.0,0.0,0,1
17,89.66,72.5,72.5,72.67,72.49,0.1,1.0,0.0,0.9,0.0,0.0,0,1
18,89.98,72.5,72.5,72.26,72.51,0.1,1.0,0.0,0.9,0.0,0.0,0,1
19,90.3,72.5,72.5,72.1,72.43,0.1,1.0,0.0,0.9,0.0,0.0,0,1
20,90.6,72.5,72.5,71.89,72.34,0.1,1.0,0.0,0.9,0.0,0.0,0,1
21,90.87,72.5,72.5,71.77,72.19,0.1,1.0,0.0,0.9,0.0,0.0,0,1
22,91.15,72.5,72.5,71.67,72.04,0.1,1.0,0.0,0.9,0.0,0.0,0,1
23,91.43,72.5,72.5,71.52,71.9,0.1,1.0,0.0,0.9,0.0,0.0,0,1
24,91.71,72.5,72.5,71.51,71.87,0.1,1.0,0.0,0.9,0.0,0.0,0,1
25,91.95,72.5,72.5,71.47,71.79,0.1,1.0,0.0,0.9,0.0,0.0,0,1
26,92.19,72.5,72.5,71.44,71.74,0.1,1.0,0.0,0.9,0.0,0.0,0,1
27,92.46,72.5,72.5,71.42,71.71,0.1,1.0,0.0,0.9,0.0,0.0,0,1
28,92.71,72.5,72.5,71.39,71.66,0.1,1.0,0.0,0.9,0.0,0.0,0,1
29,92.94,72.5,72.5,71.43,71.63,0.1,1.0,0.0,0.9,0.0,0.0,0,1
30,93.19,72.5,72.5,71.48,71.6,0.1,1.0,0.0,0.9,0.0,0.0,0,1
31,93.39,72.5,72.5,71.52,71.59,0.1,1.0,0.0,0.9,0.0,0.0,0,1
32,93.6,72.5,72.5,71.55,71.57,0.1,1.0,0.0,0.9,0.0,0.0,0,1
33,93.83,72.5,72.5,71.57,71.58,0.1,1.0,0.0,0.9,0.0,0.0,0,1
34,94.03,72.5,72.5,71.35,71.58,0.1,1.0,0.0,0.9,0.0,0.0,0,1
35,94.25,72.5,72.5,71.3,71.55,0.1,1.0,0.0,0.9,0.0,0.0,0,1
36,94.45,72.5,72.5,71.45,71.52,0.1,1.0,0.0,0.9,0.0,0.0,0,1
37,94.63,72.5,72.5,71.49,71.53,0.1,1.0,0.0,0.9,0.0,0.0,0,1
38,94.84,72.5,72.5,71.42,71.53,0.1,1.0,0.0,0.9,0.0,0.0,0,1
39,95.0,72.5,72.5,71.35,71.55,0.1,1.0,0.0,0.9,0.0,0.0,0,1
40,95.18,72.5,72.5,71.34,71.54,0.1,1.0,0.0,0.9,0.0,0.0,0,1
41,95.35,72.5,72.5,71.45,71.56,0.1,1.0,0.0,0.9,0.0,0.0,0,1
42,95.5,72.5,72.5,71.71,71.56,0.1,1.0,0.0,0.9,0.0,0.0,0,1
43,95.7,72.5,72.5,71.96,71.58,0.1,1.0,0.0,0.9,0.0,0.0,0,1
44,95.88,72.5,72.5,71.95,71.63,0.1,1.0,0.0,0.9,0.0,0.0,0,1
45,96.04,72.5,72.5,71.72,71.67,0.1,1.0,0.0,0.9,0.0,0.0,0,1
46,96.2,72.5,72.5,71.44,71.65,0.1,1.0,0.0,0.9,0.0,0.0,0,1
47,96.32,72.5,72.5,71.29,71.63,0.1,1.0,0.0,0.9,0.0,0.0,0,1
48,96.49,72.5,72.5,71.26,71.59,0.1,1.0,0.0,0.9,0.0,0.0,0,1
49,96.67,72.5,72.5,71.21,71.56,0.1,1.0,0.0,0.9,0.0,0.0,0,1
50,96.85,72.5,72.5,71.2,71.54,0.1,1.0,0.0,0.9,0.0,0.0,0,1
51,96.98,72.5,72.5,71.19,71.52,0.1,1.0,0.0,0.9,0.0,0.0,0,1
52,97.11,72.5,72.5,71.13,71.49,0.1,1.0,0.0,0.9,0.0,0.0,0,1
53,97.27,72.5,72.5,70.93,71.48,0.1,1.0,0.0,0.9,0.0,0.0,0,1
54,97.44,72.5,72.5,70.7,71.42,0.1,1.0,0.0,0.9,0.0,0.0,0,1
55,97.61,72.5,72.5,70.54,71.32,0.1,1.0,0.0,0.9,0.0,0.0,0,1
56,97.72,72.5,72.5,70.44,71.27,0.1,1.0,0.0,0.9,0.0,0.0,0,1
57,97.84,72.5,72.5,70.34,71.19,0.1,1.0,0.0,0.9,0.0,0.0,0,1
58,97.99,72.5,72.5,70.2,71.16,0.1,1.0,0.0,0.9,0.0,0.0,0,1
59,98.12,72.5,72.5,70.17,71.1,0.1,1.0,0.0,0.9,0.0,0.0,0,1
60,98.29,72.5,72.5,70.16,71.05,0.1,1.0,0.0,0.9,0.0,0.0,0,1
61,98.39,72.5,72.5,70.15,70.98,0.1,1.0,0.0,0.9,0.0,0.0,0,1
62,98.5,72.5,72.5,70.11,70.93,0.1,1.0,0.0,0.9,0.0,0.0,0,1
63,98.64,72.5,72.5,69.98,70.89,0.1,1.0,0.0,0.9,0.0,0.0,0,1
64,98.78,72.5,72.5,69.85,70.87,0.1,1.0,0.0,0.9,0.0,0.0,0,1
65,98.91,72.5,72.5,69.77,70.81,0.1,1.0,0.0,0.9,0.0,0.0,0,1
66,99.02,72.5,72.5,69.79,70.78,0.1,1.0,0.0,0.9,0.0,0.0,0,1
67,99.15,72.5,72.5,69.63,70.78,0.1,1.0,0.0,0.9,0.0,0.0,0,1
68,99.26,72.5,72.5,69.61,70.71,0.1,1.0,0.0,0.9,0.0,0.0,0,1
69,99.37,72.5,72.5,69.54,70.68,0.1,1.0,0.0,0.9,0.0,0.0,0,1
70,99.49,72.5,72.5,69.62,70.63,0.1,1.0,0.0,0.9,0.0,0.0,0,1
71,99.62,72.5,72.5,69.68,70.61,0.1,1.0,0.0,0.9,0.0,0.0,0,1
72,99.72,72.5,72.5,69.68,70.64,0.1,1.0,0.0,0.9,0.0,0.0,0,1
73,99.81,72.5,72.5,69.53,70.63,0.1,1.0,0.0,0.9,0.0,0.0,0,1
74,99.88,72.5,72.5,69.43,70.62,0.1,1.0,0.0,0.9,0.0,0.0,0,1
75,99.97,72.5,72.5,69.3,70.58,0.1,1.0,0.0,0.9,0.0,0.0,0,1
76,100.09,72.5,72.5,69.14,70.55,0.1,1.0,0.0,0.9,0.0,0.0,0,1
77,100.16,72.5,72.5,69.2,70.51,0.1,1.0,0.0,0.9,0.0,0.0,0,1
78,100.25,72.5,72.5,69.17,70.46,0.1,1.0,0.0,0.9,0.0,0.0,0,1
79,100.3,72.5,72.5,69.12,70.44,0.1,1.0,0.0,0.9,0.0,0.0,0,1
80,100.38,72.5,72.5,69.13,70.36,0.1,1.0,0.0,0.9,0.0,0.0,0,1
81,100.47,72.5,72.5,69.18,70.31,0.1,1.0,0.0,0.9,0.0,0.0,0,1
82,100.54,72.5,72.5,69.05,70.31,0.1,1.0,0.0,0.9,0.0,0.0,0,1
83,100.61,72.5,72.5,69.02,70.27,0.1,1.0,0.0,0.9,0.0,0.0,0,1
84,100.67,72.5,72.5,69.12,70.25,0.1,1.0,0.0,0.9,0.0,0.0,0,1
85,100.73,72.5,72.5,69.28,70.28,0.1,1.0,0.0,0.9,0.0,0.0,0,1
86,100.8,72.5,72.5,69.29,70.3,0.1,1.0,0.0,0.9,0.0,0.0,0,1
87,100.88,72.5,72.5,69.19,70.31,0.1,1.0,0.0,0.9,0.0,0.0,0,1
88,100.94,72.5,72.5,69.31,70.31,0.1,1.0,0.0,0.9,0.0,0.0,0,1
89,100.96,72.5,72.5,69.45,70.29,0.1,1.0,0.0,0.9,0.0,0.0,0,1
90,101.01,72.5,72.5,69.45,70.29,0.1,1.0,0.0,0.9,0.0,0.0,0,1
91,101.07,72.5,72.5,69.56,70.3,0.1,1.0,0.0,0.9,0.0,0.0,0,1
92,101.12,72.5,72.5,69.57,70.31,0.1,1.0,0.0,0.9,0.0,0.0,0,1
93,101.17,72.5,72.5,69.63,70.32,0.1,1.0,0.0,0.9,0.0,0.0,0,1
94,101.22,72.5,72.5,69.69,70.34,0.1,1.0,0.0,0.9,0.0,0.0,0,1
95,101.26,72.5,72.5,69.58,70.33,0.1,1.0,0.0,0.9,0.0,0.0,0,1
96,101.31,72.5,72.5,69.5,70.31,0.1,1.0,0.0,0.9,0.0,0.0,0,1
97,101.37,72.5,72.5,69.52,70.31,0.1,1.0,0.0,0.9,0.0,0.0,0,1
98,101.43,72.5,72.5,69.7,70.33,0.1,1.0,0.0,0.9,0.0,0.0,0,1
99,101.45,72.5,72.5,69.99,70.35,0.1,1.0,0.0,0.9,0.0,0.0,0,1
100,101.49,72.5,72.5,70.26,70.41,0.1,1.0,0.0,0.9,0.0,0.0,0,1
101,101.54,72.5,72.5,70.5,70.51,0.1,1.0,0.0,0.9,0.0,0.0,0,1
102,101.57,72.5,72.5,70.71,70.59,0.1,1.0,0.0,0.9,0.0,0.0,0,1
103,101.63,72.5,72.5,70.76,70.72,0.1,1.0,0.0,0.9,0.0,0.0,0,1
104,101.69,72.5,72.5,70.89,70.8,0.1,1.0,0.0,0.9,0.0,0.0,0,1
105,101.73,72.5,72.5,70.81,70.88,0.1,1.0,0.0,0.9,0.0,0.0,0,1
106,101.77,72.5,72.5,70.78,70.94,0.1,1.0,0.0,0.9,0.0,0.0,0,1
107,101.8,72.5,72.5,70.79,71.0,0.1,1.0,0.0,0.9,0.0,0.0,0,1
108,101.86,72.5,72.5,71.09,71.05,0.1,1.0,0.0,0.9,0.0,0.0,0,1
109,101.91,72.5,72.5,71.02,71.09,0.1,1.0,0.0,0.9,0.0,0.0,0,1
110,101.94,72.5,72.5,70.88,71.12,0.1,1.0,0.0,0.9,0.0,0.0,0,1
111,101.98,72.5,72.5,71.66,71.19,0.1,1.0,0.0,0.9,0.0,0.0,0,1
112,102.01,72.5,72.5,72.45,71.34,0.1,1.0,0.0,0.9,0.0,0.0,0,1
113,102.05,72.5,72.5,72.45,71.52,0.1,1.0,0.0,0.9,0.0,0.0,0,1
114,102.09,72.5,72.5,72.69,71.68,0.1,1.0,0.0,0.9,0.0,0.0,0,1
115,102.11,72.5,72.5,72.5,71.78,0.1,1.0,0.0,0.9,0.0,0.0,0,1
116,102.13,72.5,72.5,72.56,71.87,0.1,1.0,0.0,0.9,0.0,0.0,0,1
117,102.19,72.5,72.5,72.77,71.96,0.1,1.0,0.0,0.9,0.0,0.0,0,1
118,102.24,72.5,72.5,72.99,72.03,0.1,1.0,0.0,0.9,0.0,0.0,0,1
119,102.28,72.5,72.5,72.98,72.11,0.1,1.0,0.0,0.9,0.0,0.0,0,1
120,102.28,72.5,72.5,72.9,72.16,0.1,1.0,0.0,0.9,0.0,0.0,0,1
121,102.34,72.5,72.5,73.07,72.21,0.1,1.0,0.0,0.9,0.0,0.0,0,1
122,102.4,72.5,72.5,73.24,72.28,0.1,1.0,0.0,0.9,0.0,0.0,0,1
123,102.42,72.5,72.5,73.25,72.33,0.1,1.0,0.0,0.9,0.0,0.0,0,1
124,102.45,72.5,72.5,73.28,72.38,0.1,1.0,0.0,0.9,0.0,0.0,0,1
125,102.47,72.5,72.5,73.4,72.43,0.1,1.0,0.0,0.9,0.0,0.0,0,1
126,102.49,72.5,72.5,73.27,72.45,0.1,1.0,0.0,0.9,0.0,0.0,0,1
127,102.56,72.5,72.5,73.21,72.47,0.1,1.0,0.0,0.9,0.0,0.0,0,1
128,102.61,72.5,72.5,73.2,72.5,0.1,1.0,0.0,0.9,0.0,0.0,0,1
129,102.64,72.5,72.5,73.3,72.53,0.1,1.0,0.0,0.9,0.0,0.0,0,1
