,Datetime,AHU: Supply Air Temperature,AHU: Supply Air Temperature Set Point,AHU: Outdoor Air Temperature,AHU: Mixed Air Temperature,AHU: Return Air Temperature,AHU: Supply Air Fan Status,AHU: Return Air Fan Status,AHU: Supply Air Fan Speed Control Signal,AHU: Return Air Fan Speed Control Signal,AHU: Exhaust Air Damper Control Signal  ,AHU: Outdoor Air Damper Control Signal  ,AHU: Return Air Damper Control Signal,AHU: Cooling Coil Valve Control Signal,AHU: Heating Coil Valve Control Signal,AHU: Supply Air Duct Static Pressure Set Point,AHU: Supply Air Duct Static Pressure ,Occupancy Mode Indicator,Fault Detection Ground Truth
0,2007-08-28 00:00:00,75.92,55,80.61,73.54,73.86,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
1,2007-08-28 00:01:00,75.71,55,80.68,73.54,73.86,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
2,2007-08-28 00:02:00,75.71,55,80.66,73.54,73.86,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
3,2007-08-28 00:03:00,75.6,55,80.69,73.54,73.86,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
4,2007-08-28 00:04:00,75.81,55,80.6,73.54,73.86,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
5,2007-08-28 00:05:00,75.6,55,80.58,73.54,73.86,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
6,2007-08-28 00:06:00,75.6,55,80.59,73.54,73.86,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
7,2007-08-28 00:07:00,75.6,55,80.52,73.44,73.86,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
8,2007-08-28 00:08:00,75.71,55,80.55,73.44,73.86,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
9,2007-08-28 00:09:00,75.71,55,80.4,73.44,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
10,2007-08-28 00:10:00,75.6,55,80.41,73.65,74.07,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
11,2007-08-28 00:11:00,75.49,55,80.41,73.44,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
12,2007-08-28 00:12:00,75.49,55,80.32,73.65,73.97,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
13,2007-08-28 00:13:00,75.6,55,80.29,73.44,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
14,2007-08-28 00:14:00,75.81,55,80.29,73.44,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
15,2007-08-28 00:15:00,75.49,55,80.28,73.44,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
16,2007-08-28 00:16:00,75.49,55,80.23,73.65,73.86,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
17,2007-08-28 00:17:00,75.49,55,80.16,73.44,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
18,2007-08-28 00:18:00,75.49,55,80.16,73.44,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
19,2007-08-28 00:19:00,75.49,55,80.25,73.44,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
20,2007-08-28 00:20:00,75.49,55,80.23,73.44,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
21,2007-08-28 00:21:00,75.38,55,80.18,73.65,73.86,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
22,2007-08-28 00:22:00,75.49,55,80.06,73.44,73.55,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
23,2007-08-28 00:23:00,75.49,55,79.93,73.44,73.55,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
24,2007-08-28 00:24:00,75.71,55,79.93,73.44,73.55,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
25,2007-08-28 00:25:00,75.38,55,80.0,73.44,73.55,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
26,2007-08-28 00:26:00,75.49,55,80.09,73.44,73.55,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
27,2007-08-28 00:27:00,75.38,55,80.12,73.44,73.55,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
28,2007-08-28 00:28:00,75.49,55,79.98,73.44,73.55,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
29,2007-08-28 00:29:00,75.38,55,79.84,73.44,73.44,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
30,2007-08-28 00:30:00,75.38,55,79.81,73.65,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
31,2007-08-28 00:31:00,75.38,55,79.85,73.44,73.55,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
32,2007-08-28 00:32:00,75.49,55,79.93,73.44,73.55,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
33,2007-08-28 00:33:00,75.38,55,79.87,73.44,73.55,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
34,2007-08-28 00:34:00,75.38,55,79.83,73.44,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
35,2007-08-28 00:35:00,75.38,55,79.76,73.44,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
36,2007-08-28 00:36:00,75.28,55,79.7,73.33,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
37,2007-08-28 00:37:00,75.28,55,79.75,73.44,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
38,2007-08-28 00:38:00,75.28,55,79.74,73.44,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
39,2007-08-28 00:39:00,75.6,55,79.8,73.33,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
40,2007-08-28 00:40:00,75.28,55,79.86,73.33,73.86,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
41,2007-08-28 00:41:00,75.6,55,79.81,73.44,73.86,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
42,2007-08-28 00:42:00,75.28,55,79.84,73.65,73.97,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
43,2007-08-28 00:43:00,75.28,55,79.86,73.44,73.86,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
44,2007-08-28 00:44:00,75.49,55,79.83,73.65,73.97,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
45,2007-08-28 00:45:00,75.49,55,79.88,73.33,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
46,2007-08-28 00:46:00,75.28,55,79.83,73.44,73.86,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
47,2007-08-28 00:47:00,75.28,55,79.79,73.44,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
48,2007-08-28 00:48:00,75.49,55,79.76,73.33,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
49,2007-08-28 00:49:00,75.17,55,79.69,73.54,73.97,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
50,2007-08-28 00:50:00,75.17,55,79.59,73.33,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
51,2007-08-28 00:51:00,75.17,55,79.57,73.33,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
52,2007-08-28 00:52:00,75.17,55,79.56,73.33,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
53,2007-08-28 00:53:00,75.17,55,79.56,73.44,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
54,2007-08-28 00:54:00,75.06,55,79.57,73.33,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
55,2007-08-28 00:55:00,75.17,55,79.56,73.33,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
56,2007-08-28 00:56:00,75.17,55,79.51,73.33,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
57,2007-08-28 00:57:00,75.17,55,79.52,73.33,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
58,2007-08-28 00:58:00,75.28,55,79.54,73.23,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
59,2007-08-28 00:59:00,75.17,55,79.55,73.33,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
60,2007-08-28 01:00:00,75.17,55,79.59,73.33,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
61,2007-08-28 01:01:00,74.95,55,79.61,73.33,73.55,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
62,2007-08-28 01:02:00,75.17,55,79.66,73.33,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
63,2007-08-28 01:03:00,75.17,55,79.57,73.33,73.55,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
64,2007-08-28 01:04:00,75.06,55,79.51,73.33,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
65,2007-08-28 01:05:00,75.06,55,79.48,73.33,73.55,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
66,2007-08-28 01:06:00,75.06,55,79.5,73.23,73.55,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
67,2007-08-28 01:07:00,75.17,55,79.47,73.33,73.55,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
68,2007-08-28 01:08:00,75.17,55,79.48,73.23,73.55,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
69,2007-08-28 01:09:00,75.06,55,79.52,73.33,73.44,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
70,2007-08-28 01:10:00,75.06,55,79.51,73.33,73.55,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
71,2007-08-28 01:11:00,75.17,55,79.49,73.33,73.44,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
72,2007-08-28 01:12:00,75.06,55,79.5,73.23,73.55,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
73,2007-08-28 01:13:00,75.06,55,79.45,73.23,73.55,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
74,2007-08-28 01:14:00,75.06,55,79.47,73.23,73.55,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
75,2007-08-28 01:15:00,75.06,55,79.34,73.33,73.55,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
76,2007-08-28 01:16:00,75.06,55,79.25,73.54,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
77,2007-08-28 01:17:00,75.06,55,79.31,73.33,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
78,2007-08-28 01:18:00,75.06,55,79.33,73.54,73.97,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
79,2007-08-28 01:19:00,74.95,55,79.27,73.54,73.86,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
80,2007-08-28 01:20:00,74.95,55,79.28,73.23,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
81,2007-08-28 01:21:00,74.95,55,79.27,73.33,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
82,2007-08-28 01:22:00,75.06,55,79.25,73.23,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
83,2007-08-28 01:23:00,75.28,55,79.19,73.33,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
84,2007-08-28 01:24:00,75.06,55,79.16,73.33,73.86,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
85,2007-08-28 01:25:00,74.95,55,79.24,73.23,73.86,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
86,2007-08-28 01:26:00,74.95,55,79.17,73.33,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
87,2007-08-28 01:27:00,75.17,55,79.16,73.23,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
88,2007-08-28 01:28:00,74.95,55,79.11,73.44,73.97,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
89,2007-08-28 01:29:00,74.95,55,79.11,73.33,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
90,2007-08-28 01:30:00,75.06,55,79.08,73.33,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
91,2007-08-28 01:31:00,74.95,55,79.05,73.23,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
92,2007-08-28 01:32:00,74.95,55,79.09,73.33,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
93,2007-08-28 01:33:00,75.06,55,79.01,73.33,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
94,2007-08-28 01:34:00,74.95,55,78.95,73.23,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
95,2007-08-28 01:35:00,75.17,55,78.91,73.33,73.76,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
96,2007-08-28 01:36:00,74.84,55,78.91,73.33,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
97,2007-08-28 01:37:00,74.95,55,78.86,73.23,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
98,2007-08-28 01:38:00,74.95,55,78.84,73.33,73.65,0,0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0,1
