,Datetime,AHU: Supply Air Temperature,AHU: Supply Air Temperature Set Point,AHU: Outdoor Air Temperature,AHU: Mixed Air Temperature,AHU: Return Air Temperature,AHU: Supply Air Fan Status,AHU: Return Air Fan Status,AHU: Supply Air Fan Speed Control Signal,AHU: Return Air Fan Speed Control Signal,AHU: Exhaust Air Damper Control Signal  ,AHU: Outdoor Air Damper Control Signal  ,AHU: Return Air Damper Control Signal,AHU: Cooling Coil Valve Control Signal,AHU: Heating Coil Valve Control Signal,AHU: Supply Air Duct Static Pressure Set Point,AHU: Supply Air Duct Static Pressure ,Occupancy Mode Indicator,Fault Detection Ground Truth
11520,2008-02-12 00:00:00,76.85,55,3.76,3.76,60.77,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11521,2008-02-12 00:01:00,76.58,55,3.73,3.73,60.74,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11522,2008-02-12 00:02:00,76.32,55,3.69,3.69,60.71,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11523,2008-02-12 00:03:00,76.05,55,3.67,3.67,60.68,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11524,2008-02-12 00:04:00,75.79,55,3.68,3.68,60.65,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11525,2008-02-12 00:05:00,75.53,55,3.67,3.67,60.62,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11526,2008-02-12 00:06:00,75.27,55,3.67,3.67,60.59,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11527,2008-02-12 00:07:00,75.01,55,3.68,3.68,60.57,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11528,2008-02-12 00:08:00,74.75,55,3.69,3.69,60.54,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11529,2008-02-12 00:09:00,74.49,55,3.7,3.7,60.51,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11530,2008-02-12 00:10:00,74.24,55,3.67,3.67,60.48,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11531,2008-02-12 00:11:00,73.98,55,3.68,3.68,60.45,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11532,2008-02-12 00:12:00,73.73,55,3.75,3.75,60.43,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11533,2008-02-12 00:13:00,73.47,55,3.78,3.78,60.4,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11534,2008-02-12 00:14:00,73.22,55,3.76,3.76,60.37,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11535,2008-02-12 00:15:00,72.97,55,3.76,3.76,60.35,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11536,2008-02-12 00:16:00,72.72,55,3.74,3.74,60.32,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11537,2008-02-12 00:17:00,72.47,55,3.72,3.72,60.3,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11538,2008-02-12 00:18:00,72.22,55,3.75,3.75,60.27,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11539,2008-02-12 00:19:00,71.97,55,3.74,3.74,60.25,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11540,2008-02-12 00:20:00,71.72,55,3.76,3.76,60.22,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11541,2008-02-12 00:21:00,71.47,55,3.74,3.74,60.2,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11542,2008-02-12 00:22:00,71.23,55,3.74,3.74,60.17,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11543,2008-02-12 00:23:00,70.98,55,3.74,3.74,60.15,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
11544,2008-02-12 00:24:00,70.74,55,3.73,3.73,60.12,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.01,0,1
