,Datetime,AHU: Supply Air Temperature,AHU: Supply Air Temperature Heating Set Point,AHU: Supply Air Temperature Cooling Set Point,AHU: Outdoor Air Temperature,AHU: Mixed Air Temperature,AHU: Return Air Temperature,AHU: Supply Air Fan Status,AHU: Supply Air Fan Speed Control Signal,AHU: Outdoor Air Damper Control Signal  ,AHU: Return Air Damper Control Signal,AHU: Exhaust Air Damper Control Signal    ,AHU: Cooling Coil Valve Control Signal,AHU: Heating Coil Valve Control Signal,Occupancy Mode Indicator,Fault Detection Ground Truth
2880,2017-03-15 00:00:00,72.82,50.0,86.0,59.45,71.98,72.2,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2881,2017-03-15 00:01:00,72.8,50.0,86.0,59.45,71.98,72.19,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2882,2017-03-15 00:02:00,72.74,50.0,86.0,59.45,71.96,72.19,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2883,2017-03-15 00:03:00,72.61,50.0,86.0,59.45,71.95,72.15,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2884,2017-03-15 00:04:00,72.44,50.0,86.0,59.45,71.91,72.11,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2885,2017-03-15 00:05:00,72.25,50.0,86.0,59.45,71.87,72.06,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2886,2017-03-15 00:06:00,72.15,50.0,86.0,59.45,71.82,72.01,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2887,2017-03-15 00:07:00,72.15,50.0,86.0,59.45,71.78,71.96,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2888,2017-03-15 00:08:00,72.24,50.0,86.0,59.45,71.76,71.95,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2889,2017-03-15 00:09:00,72.37,50.0,86.0,59.45,71.76,71.94,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2890,2017-03-15 00:10:00,72.47,50.0,86.0,59.45,71.76,71.95,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2891,2017-03-15 00:11:00,72.51,50.0,86.0,59.45,71.76,71.97,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2892,2017-03-15 00:12:00,72.49,50.0,86.0,59.45,71.77,71.97,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2893,2017-03-15 00:13:00,72.39,50.0,86.0,59.45,71.76,71.97,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2894,2017-03-15 00:14:00,72.27,50.0,86.0,59.45,71.74,71.95,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2895,2017-03-15 00:15:00,72.1,50.0,86.0,60.32,71.72,71.92,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2896,2017-03-15 00:16:00,71.93,50.0,86.0,60.32,71.69,71.88,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2897,2017-03-15 00:17:00,71.74,50.0,86.0,60.32,71.63,71.82,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2898,2017-03-15 00:18:00,71.59,50.0,86.0,60.32,71.57,71.75,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2899,2017-03-15 00:19:00,71.42,50.0,86.0,60.32,71.52,71.67,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2900,2017-03-15 00:20:00,71.26,50.0,86.0,60.32,71.46,71.61,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2901,2017-03-15 00:21:00,71.12,50.0,86.0,60.32,71.4,71.55,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2902,2017-03-15 00:22:00,70.97,50.0,86.0,60.32,71.33,71.46,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2903,2017-03-15 00:23:00,70.85,50.0,86.0,60.32,71.27,71.38,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2904,2017-03-15 00:24:00,70.72,50.0,86.0,60.32,71.19,71.32,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
2905,2017-03-15 00:25:00,70.6,50.0,86.0,60.32,71.14,71.27,1,0.5,0.0,1.0,0.0,0.0,0.0,0,1
