,Datetime,AHU: Supply Air Temperature,AHU: Supply Air Temperature Heating Set Point,AHU: Supply Air Temperature Cooling Set Point,AHU: Outdoor Air Temperature,AHU: Mixed Air Temperature,AHU: Return Air Temperature,AHU: Supply Air Fan Status,AHU: Supply Air Fan Speed Control Signal,AHU: Outdoor Air Damper Control Signal  ,AHU: Return Air Damper Control Signal,AHU: Exhaust Air Damper Control Signal    ,AHU: Cooling Coil Valve Control Signal,AHU: Heating Coil Valve Control Signal,Occupancy Mode Indicator,Fault Detection Ground Truth
1440,2017-09-12 00:00:00,72.86,72.5,72.5,72.6,77.54,74.98,1,0.1,0.0,1.0,-0.04,0.0,0.17,0,1
1441,2017-09-12 00:01:00,73.09,72.5,72.5,72.65,77.54,74.99,1,0.1,0.0,1.0,-0.04,0.0,0.17,0,1
1442,2017-09-12 00:02:00,74.41,72.5,72.5,72.71,77.56,75.0,1,0.1,0.0,1.0,-0.04,0.0,0.12,0,1
1443,2017-09-12 00:03:00,76.51,72.5,72.5,72.79,77.53,75.01,1,0.1,0.02,0.98,-0.02,0.0,0.02,0,1
1444,2017-09-12 00:04:00,78.85,72.5,72.5,72.84,77.0,75.01,1,0.1,0.17,0.83,0.12,0.0,0.0,0,1
1445,2017-09-12 00:05:00,80.99,72.5,72.5,73.03,76.33,75.02,1,0.1,0.35,0.65,0.29,0.0,0.0,0,1
1446,2017-09-12 00:06:00,82.72,72.5,72.5,73.24,75.69,75.03,1,0.1,0.5,0.5,0.43,0.0,0.0,0,1
1447,2017-09-12 00:07:00,84.07,72.5,72.5,73.16,75.01,75.05,1,0.1,0.63,0.37,0.55,0.0,0.0,0,1
1448,2017-09-12 00:08:00,85.12,72.5,72.5,73.19,74.52,75.06,1,0.1,0.74,0.26,0.65,0.0,0.0,0,1
1449,2017-09-12 00:09:00,85.98,72.5,72.5,73.13,74.01,75.1,1,0.1,0.83,0.17,0.74,0.0,0.0,0,1
1450,2017-09-12 00:10:00,86.67,72.5,72.5,73.48,73.62,75.12,1,0.1,0.91,0.09,0.81,0.0,0.0,0,1
1451,2017-09-12 00:11:00,87.24,72.5,72.5,73.62,73.25,75.14,1,0.1,0.98,0.02,0.88,0.0,0.0,0,1
1452,2017-09-12 00:12:00,87.73,72.5,72.5,73.65,72.92,75.15,1,0.1,1.0,0.0,0.9,0.0,0.0,0,1
1453,2017-09-12 00:13:00,88.16,72.5,72.5,73.75,72.77,75.14,1,0.1,1.0,0.0,0.9,0.0,0.0,0,1
1454,2017-09-12 00:14:00,88.55,72.5,72.5,73.63,72.7,75.14,1,0.1,1.0,0.0,0.9,0.0,0.0,0,1
1455,2017-09-12 00:15:00,88.96,72.5,72.5,73.18,72.61,75.12,1,0.1,1.0,0.0,0.9,0.0,0.0,0,1
1456,2017-09-12 00:16:00,89.3,72.5,72.5,72.9,72.54,75.11,1,0.1,1.0,0.0,0.9,0.0,0.0,0,1
1457,2017-09-12 00:17:00,89.66,72.5,72.5,72.67,72.49,75.08,1,0.1,1.0,0.0,0.9,0.0,0.0,0,1
1458,2017-09-12 00:18:00,89.98,72.5,72.5,72.26,72.51,75.07,1,0.1,1.0,0.0,0.9,0.0,0.0,0,1
1459,2017-09-12 00:19:00,90.3,72.5,72.5,72.1,72.43,75.06,1,0.1,1.0,0.0,0.9,0.0,0.0,0,1
1460,2017-09-12 00:20:00,90.6,72.5,72.5,71.89,72.34,75.05,1,0.1,1.0,0.0,0.9,0.0,0.0,0,1
1461,2017-09-12 00:21:00,90.87,72.5,72.5,71.77,72.19,75.04,1,0.1,1.0,0.0,0.9,0.0,0.0,0,1
